author_id,edit_history_tweet_ids,id,public_metrics,text,retweeter,withheld,tweeter
1072493326463582209,[1624659230715260928],1624659230715260928,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,MichaelGhanem4,,Deu_Kurier
1133436358935109632,[1624658323126591489],1624658323126591489,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Mathias91942226,,Deu_Kurier
1266055132665597953,[1624658202993258498],1624658202993258498,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,ThomasTrapp15,,Deu_Kurier
886338563062812674,[1624657991864664065],1624657991864664065,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,isikat2,,Deu_Kurier
1443641829551915016,[1624655982344261635],1624655982344261635,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,dirtywack6,,Deu_Kurier
292414734,[1624655045680631808],1624655045680631808,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Pittroff7069,,Deu_Kurier
1506582055626420226,[1624654862372708354],1624654862372708354,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @MargritStamm: Die Rütli-Schule in Berlin hatte den schlechtesten Ruf Berlins. Noch 2006 herrschte Gewalt und Lehrkräfte hatten Angst vo…,ThinktankTtim,,MargritStamm
1258280250632478721,[1624654164042080256],1624654164042080256,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,EZenzius,,Deu_Kurier
1376948080189259786,[1624653580262047744],1624653580262047744,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @breddermann: @defence42 Sportunterricht fällt aus weil Menschen in Hallen gepfercht werden. Querdenkerinnen auf 180. Vollalarm. Sportun…,laberRababer00,,breddermann
1238364616893313024,[1624650505476534273],1624650505476534273,"{'retweet_count': 33, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @leseerlaubnis: Wenn Lehrkräfte rauchen würden, wäre vielen Eltern klar, dass man das auch in der letzten Reihe als gefährlich empfindet…",chris40377646,,leseerlaubnis
